jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD
Alabama,1/4/2014,355,,60,,10,,20,,,12,87,18
Alabama,1/11/2014,872,23,163,23,35,32,61,14,22,25,199,40
Alabama,1/18/2014,1044,21,209,34,31,33,77,19,24,19,242,60
Alabama,1/25/2014,1022,25,205,23,25,42,74,16,22,35,249,53
Alabama,2/1/2014,1040,18,200,26,38,26,68,15,18,24,269,50
Alabama,2/8/2014,992,24,180,25,31,31,71,19,21,24,235,45
Alabama,2/15/2014,942,26,191,19,23,27,72,17,13,26,222,50
Alabama,2/22/2014,990,15,232,28,37,21,53,14,20,25,242,57
Alabama,3/1/2014,958,16,202,28,29,28,60,19,19,28,219,48
Alabama,3/8/2014,988,18,184,27,25,20,45,21,18,26,253,59
Alabama,3/15/2014,974,20,201,25,37,16,60,24,17,34,242,50
Alabama,3/22/2014,934,23,176,24,34,17,45,,15,17,239,47
Alabama,3/29/2014,926,27,214,25,34,,64,13,22,17,228,46
Alabama,4/5/2014,949,24,193,17,30,11,64,16,21,20,210,38
Alabama,4/12/2014,924,15,185,31,29,16,47,17,11,24,239,63
Alabama,4/19/2014,986,19,215,28,40,15,47,14,20,16,237,56
Alabama,4/26/2014,914,11,187,23,24,18,61,15,28,19,236,44
Alabama,5/3/2014,933,19,197,33,23,15,50,12,14,13,232,59
Alabama,5/10/2014,916,23,176,25,44,20,53,11,21,21,235,35
Alabama,5/17/2014,925,19,192,18,43,18,47,14,27,25,225,61
Alabama,5/24/2014,892,25,171,21,26,,62,10,18,15,222,65
Alabama,5/31/2014,932,18,188,20,25,11,61,16,12,21,246,59
Alabama,6/7/2014,922,23,192,14,32,13,61,16,18,25,216,43
Alabama,6/14/2014,838,14,179,24,31,20,54,,13,20,193,46
Alabama,6/21/2014,774,13,171,21,29,15,45,14,17,13,207,41
Alabama,6/28/2014,727,,163,18,24,10,47,13,15,17,181,42
Alabama,7/5/2014,671,13,142,15,24,,41,10,17,22,176,24
Alabama,7/12/2014,683,15,134,17,15,10,45,14,15,18,152,49
Alabama,7/19/2014,751,13,140,,24,16,41,,15,18,195,33
Alabama,7/26/2014,847,24,180,32,32,11,42,17,14,23,198,40
Alabama,8/2/2014,848,14,196,25,21,14,44,10,14,18,214,47
Alabama,8/9/2014,891,15,193,21,25,14,59,15,16,25,232,47
Alabama,8/16/2014,829,11,181,23,32,15,48,17,20,13,192,45
Alabama,8/23/2014,741,,142,20,37,12,56,,11,21,153,39
Alabama,8/30/2014,588,13,127,11,21,11,27,12,10,19,125,28
Alabama,9/6/2014,700,,137,14,27,,47,11,,21,170,34
Alabama,9/13/2014,729,19,153,21,22,,45,11,17,19,174,34
Alabama,9/20/2014,764,,166,17,32,16,39,,16,18,191,33
Alabama,9/27/2014,933,19,197,24,33,19,54,23,18,15,227,59
Alabama,10/4/2014,866,21,202,25,30,14,47,15,19,24,201,42
Alabama,10/11/2014,917,21,195,23,40,12,40,15,18,31,226,49
Alabama,10/18/2014,924,24,205,19,37,19,45,11,18,22,244,53
Alabama,10/25/2014,890,22,196,17,55,14,48,14,,22,226,41
Alabama,11/1/2014,918,18,191,23,31,13,44,16,20,16,240,50
Alabama,11/8/2014,817,15,164,24,30,16,49,11,17,20,209,42
Alabama,11/15/2014,805,14,157,23,27,11,40,18,18,25,220,40
Alabama,11/22/2014,933,13,153,25,53,25,59,22,23,24,241,51
Alabama,11/29/2014,986,16,185,25,36,23,70,20,24,22,254,48
Alabama,12/6/2014,995,25,207,31,57,20,65,16,18,29,258,46
Alabama,12/13/2014,1036,23,197,28,50,28,66,18,16,31,278,54
Alabama,12/20/2014,1117,27,191,29,48,26,73,22,23,25,291,67
Alabama,12/27/2014,1068,24,203,25,46,40,73,23,16,23,273,50
Alabama,1/3/2015,1103,27,205,26,45,44,67,20,27,24,295,53
Alabama,1/10/2015,1139,22,200,36,59,48,73,30,26,20,273,48
Alabama,1/17/2015,1140,23,212,33,50,41,74,30,29,30,276,69
Alabama,1/24/2015,1043,29,178,28,61,26,63,18,25,24,257,61
Alabama,1/31/2015,1076,22,207,24,50,22,74,21,24,12,259,58
Alabama,2/7/2015,1110,34,202,28,47,34,68,23,24,28,290,48
Alabama,2/14/2015,1070,18,194,20,46,37,69,19,34,24,280,48
Alabama,2/21/2015,1066,14,191,26,42,23,82,18,21,21,281,62
Alabama,2/28/2015,1102,23,192,25,62,39,87,21,17,33,283,67
Alabama,3/7/2015,1206,32,208,32,54,24,82,22,30,25,313,51
Alabama,3/14/2015,1103,19,218,23,51,33,84,19,17,19,266,63
Alabama,3/21/2015,1003,26,188,27,49,27,61,13,20,23,256,50
Alabama,3/28/2015,983,24,194,18,42,19,76,15,19,15,241,53
