jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD
United States,1/4/2014,54065,882,11244,1654,1780,1639,3331,756,965,679,13166,2669
United States,1/11/2014,56353,905,11504,1735,1917,1910,3444,845,1098,665,13663,2738
United States,1/18/2014,54769,919,11496,1660,1914,1920,3333,812,1056,598,12928,2714
United States,1/25/2014,54223,845,11629,1602,1862,1765,3467,753,1029,622,12813,2720
United States,2/1/2014,54074,890,11584,1586,1867,1642,3283,720,998,664,12896,2699
United States,2/8/2014,53484,849,11355,1643,1873,1528,3351,728,1038,641,12681,2684
United States,2/15/2014,53910,851,11477,1642,1843,1472,3303,739,1021,638,12984,2669
United States,2/22/2014,52752,708,11478,1564,1814,1269,3047,731,973,643,12577,2799
United States,3/1/2014,51768,779,11251,1588,1776,1228,3008,687,1018,595,12248,2630
United States,3/8/2014,52163,777,11535,1536,1830,1215,3043,760,1040,642,12318,2529
United States,3/15/2014,51912,819,11340,1584,1775,1153,3112,730,987,611,12375,2555
United States,3/22/2014,51487,797,11406,1487,1825,1163,3048,762,983,561,12178,2632
United States,3/29/2014,50945,748,11533,1491,1821,1117,3026,691,913,575,12180,2519
United States,4/5/2014,50948,746,11352,1507,1654,1059,3005,751,973,604,12083,2563
United States,4/12/2014,50793,733,11368,1456,1725,1131,2956,761,890,582,12053,2569
United States,4/19/2014,49976,708,11197,1496,1709,1054,2904,730,903,551,11819,2473
United States,4/26/2014,49997,735,11186,1433,1639,1021,2956,712,885,661,11781,2532
United States,5/3/2014,49738,730,11236,1488,1539,1020,2842,756,892,552,11729,2461
United States,5/10/2014,50430,724,11301,1501,1747,1023,2901,699,905,620,11813,2534
United States,5/17/2014,48003,669,10877,1394,1642,887,2750,699,907,568,11394,2441
United States,5/24/2014,48689,735,11303,1410,1574,863,2672,694,937,522,11392,2475
United States,5/31/2014,48254,665,11157,1360,1632,863,2709,690,847,629,11196,2448
United States,6/7/2014,47831,685,11098,1293,1549,863,2653,710,830,568,11235,2322
United States,6/14/2014,47907,674,11406,1316,1599,909,2702,634,878,603,10955,2280
United States,6/21/2014,47698,715,11110,1378,1613,814,2587,627,895,611,10904,2351
United States,6/28/2014,47539,673,11368,1401,1571,844,2494,617,797,575,10827,2337
United States,7/5/2014,47535,702,10940,1357,1515,823,2527,621,796,592,11111,2354
United States,7/12/2014,47595,707,11018,1354,1562,814,2556,596,847,558,10927,2380
United States,7/19/2014,47320,709,11153,1330,1639,815,2545,610,840,565,10825,2370
United States,7/26/2014,47259,722,11229,1381,1618,772,2526,620,844,494,10771,2374
United States,8/2/2014,47094,671,11398,1349,1535,755,2533,598,836,565,10665,2326
United States,8/9/2014,47201,654,11186,1390,1614,760,2470,651,839,531,10714,2339
United States,8/16/2014,46852,677,11201,1336,1580,730,2440,608,873,560,10497,2479
United States,8/23/2014,46863,677,11204,1345,1620,714,2396,635,885,560,10711,2216
United States,8/30/2014,46751,629,10989,1285,1498,778,2310,646,826,555,10608,2369
United States,9/6/2014,47521,660,11098,1368,1622,781,2391,589,870,608,10837,2386
United States,9/13/2014,47141,695,11061,1327,1627,744,2435,597,914,594,10699,2403
United States,9/20/2014,48223,690,11361,1312,1730,816,2427,600,866,610,10969,2505
United States,9/27/2014,48527,660,11578,1365,1718,783,2517,717,885,605,11138,2483
United States,10/4/2014,48457,735,11407,1368,1751,807,2483,643,900,565,11155,2446
United States,10/11/2014,49499,712,11540,1457,1840,842,2541,649,902,652,11397,2467
United States,10/18/2014,49427,726,11454,1398,1890,882,2550,672,854,626,11633,2591
United States,10/25/2014,49252,698,11479,1409,1933,851,2586,667,871,629,11401,2649
United States,11/1/2014,49193,731,11467,1371,1937,881,2620,634,887,593,11261,2605
United States,11/8/2014,51214,736,11554,1468,2056,831,2771,692,856,728,11923,2718
United States,11/15/2014,50735,727,11440,1508,2041,845,2689,674,883,672,11963,2686
United States,11/22/2014,52722,770,11768,1590,2146,970,2758,722,990,698,12278,2864
United States,11/29/2014,52075,757,11351,1532,2229,972,2754,705,948,689,12479,2794
United States,12/6/2014,52979,842,11491,1474,2280,1054,2876,734,1033,744,12401,2739
United States,12/13/2014,53714,781,11585,1656,2300,1144,3025,722,1025,715,12580,2896
United States,12/20/2014,54861,893,11632,1619,2247,1448,3241,801,967,755,13057,2898
United States,12/27/2014,56239,871,11511,1664,2333,1695,3425,818,1052,811,13611,2889
United States,1/3/2015,59457,965,11681,1774,2435,2293,3802,852,1051,780,14421,2932
United States,1/10/2015,61763,998,11865,1820,2671,2602,3947,899,1141,668,14855,3191
United States,1/17/2015,61163,963,11926,1860,2795,2368,3823,866,1164,700,14527,3077
United States,1/24/2015,58652,937,11664,1790,2612,2108,3704,864,1142,668,13936,2997
United States,1/31/2015,57297,853,11727,1756,2471,1875,3594,815,1092,688,13492,2981
United States,2/7/2015,57367,907,11667,1647,2341,1758,3485,782,1050,658,13843,2925
United States,2/14/2015,56668,926,11579,1730,2423,1594,3507,832,1107,657,13426,2916
United States,2/21/2015,56678,873,11426,1707,2390,1528,3644,798,1083,612,13637,2880
United States,2/28/2015,56334,853,11554,1725,2323,1522,3560,833,1104,651,13468,2958
United States,3/7/2015,56509,888,11407,1727,2338,1376,3624,865,1064,588,13612,2911
United States,3/14/2015,55741,882,11577,1650,2327,1369,3479,822,1046,581,13195,2844
United States,3/21/2015,54462,813,11683,1527,2182,1223,3385,832,1041,621,12823,2887
United States,3/28/2015,53404,807,11765,1526,2037,1160,3315,796,1030,627,12574,2764
United States,4/4/2015,53210,784,11258,1582,2111,1166,3339,789,997,620,12670,2710
United States,4/11/2015,52839,779,11390,1565,2087,1158,3301,791,1026,599,12523,2653
United States,4/18/2015,52881,809,11572,1534,2046,1157,3319,833,984,597,12445,2698
United States,4/25/2015,51626,767,11217,1547,2008,1112,3170,724,929,579,12074,2570
United States,5/2/2015,51488,744,11411,1443,2066,1060,3173,739,996,588,12254,2581
United States,5/9/2015,51693,692,11367,1533,2018,908,3132,770,912,566,12107,2625
United States,5/16/2015,50716,738,11356,1405,1929,959,3066,694,943,557,11847,2654
United States,5/23/2015,49396,725,11080,1433,1924,897,2951,674,930,554,11501,2549
United States,5/30/2015,49849,735,11339,1487,1978,908,2884,662,858,553,11648,2510
United States,6/6/2015,49260,692,11189,1457,1904,864,2838,672,941,587,11372,2514
United States,6/13/2015,49813,737,11172,1421,1959,879,2860,732,894,588,11437,2545
United States,6/20/2015,49117,686,11265,1412,1866,846,2732,685,894,584,11252,2593
United States,6/27/2015,49071,711,11257,1357,1839,867,2754,700,920,590,11314,2523
United States,7/4/2015,49247,715,11413,1455,1878,800,2707,670,881,558,11325,2502
United States,7/11/2015,48950,753,11070,1453,1842,813,2611,627,911,582,11377,2543
United States,7/18/2015,49266,736,11380,1449,1949,813,2613,706,883,528,11406,2584
United States,7/25/2015,48661,700,11372,1391,1903,756,2544,650,846,613,11297,2444
United States,8/1/2015,48714,654,11234,1303,1879,738,2534,633,892,560,11336,2612
United States,8/8/2015,48323,716,11212,1405,1870,796,2427,653,815,597,10977,2431
United States,8/15/2015,48194,723,11365,1377,1832,784,2346,638,864,538,11068,2502
United States,8/22/2015,48468,729,11383,1392,1849,768,2454,656,852,521,11063,2470
United States,8/29/2015,48522,752,11331,1421,1948,796,2489,668,899,565,11115,2435
United States,9/5/2015,48753,741,11451,1363,1945,756,2455,616,852,564,10988,2541
United States,9/12/2015,48820,727,11307,1363,1972,794,2452,683,858,586,11172,2528
United States,9/19/2015,48972,698,11447,1416,1930,763,2547,692,907,593,11200,2503
United States,9/26/2015,49307,744,11383,1388,1969,785,2547,672,914,604,11153,2616
United States,10/3/2015,48888,751,11519,1444,2003,858,2527,652,870,561,11229,2478
United States,10/10/2015,51096,774,11649,1500,2156,878,2646,698,890,650,11757,2606
United States,10/17/2015,50038,741,11382,1486,2098,851,2604,686,865,641,11417,2636
United States,10/24/2015,50927,771,11429,1520,2154,916,2679,691,928,596,11748,2718
United States,10/31/2015,50484,774,11464,1499,2130,869,2630,679,879,611,11564,2751
United States,11/7/2015,51179,802,11509,1502,2204,916,2711,735,925,608,11753,2790
United States,11/14/2015,50753,763,11274,1605,2172,832,2712,724,954,650,11679,2604
United States,11/21/2015,51813,778,11547,1518,2214,891,2773,730,940,649,12122,2794
United States,11/28/2015,51496,760,11323,1513,2203,870,2776,741,972,713,12124,2843
United States,12/5/2015,52070,782,11227,1540,2211,970,2866,713,937,678,12327,2726
United States,12/12/2015,53755,788,11691,1547,2328,966,2997,740,997,712,12722,2848
United States,12/19/2015,52273,781,11369,1537,2257,991,2964,803,931,698,12343,2685
United States,12/26/2015,53216,813,11467,1598,2390,971,2996,741,1026,812,12542,2746
United States,1/2/2016,52615,822,11046,1559,2231,1136,3098,781,1041,677,12542,2792
United States,1/9/2016,55865,923,11739,1695,2360,1240,3215,899,1076,656,13170,2995
United States,1/16/2016,55596,854,11835,1625,2358,1260,3173,822,1072,605,13209,2874
United States,1/23/2016,55231,871,11638,1696,2469,1130,3315,823,1026,605,12999,2889
United States,1/30/2016,55665,838,11850,1688,2393,1169,3228,831,1023,615,13102,3033
United States,2/6/2016,55142,839,11428,1590,2385,1171,3229,773,1071,617,13022,2867
United States,2/13/2016,55465,827,11874,1574,2306,1195,3429,780,1023,613,13299,2805
United States,2/20/2016,56176,788,11703,1676,2417,1254,3438,805,1029,630,13439,2882
United States,2/27/2016,55203,875,11615,1721,2308,1317,3404,792,1030,604,12977,2829
United States,3/5/2016,55935,837,11767,1618,2310,1428,3337,847,1041,653,13099,2865
United States,3/12/2016,56233,873,11852,1637,2262,1459,3547,797,1102,627,13176,2850
United States,3/19/2016,54585,840,11472,1581,2290,1383,3570,852,1006,624,12773,2755
United States,3/26/2016,54814,846,11544,1616,2253,1403,3448,856,1056,546,12808,2831
United States,4/2/2016,53946,865,11447,1594,2215,1297,3354,780,1012,573,12698,2778
United States,4/9/2016,54074,787,11440,1519,2243,1325,3348,773,989,616,12580,2772
United States,4/16/2016,53495,833,11383,1541,2194,1256,3173,781,954,599,12492,2785
United States,4/23/2016,53164,846,11342,1566,2276,1085,3162,793,961,600,12496,2686
United States,4/30/2016,51082,759,11141,1459,2167,1030,3047,698,959,629,11825,2606
United States,5/7/2016,51282,743,11366,1573,2086,995,2907,746,938,561,11757,2702
United States,5/14/2016,51006,730,11189,1466,2128,893,2912,717,946,602,11856,2668
United States,5/21/2016,50471,754,11254,1496,2077,899,2932,685,916,618,11604,2623
United States,5/28/2016,50492,722,11085,1461,2114,894,2889,769,933,588,11683,2557
United States,6/4/2016,49714,743,11004,1394,1950,817,2797,732,851,621,11673,2608
United States,6/11/2016,49918,712,11124,1419,2072,867,2811,712,944,598,11320,2554
United States,6/18/2016,49915,709,11132,1473,2009,765,2681,744,915,589,11534,2526
United States,6/25/2016,49625,659,11182,1387,2048,769,2712,709,915,602,11546,2480
United States,7/2/2016,49754,682,11067,1397,2087,772,2711,695,911,578,11378,2555
United States,7/9/2016,49706,713,11230,1393,2052,814,2644,682,821,632,11378,2494
United States,7/16/2016,49639,720,11207,1470,2060,811,2664,662,900,621,11229,2570
United States,7/23/2016,49284,741,11192,1397,2024,717,2652,705,871,611,11092,2497
United States,7/30/2016,49701,733,11408,1392,2026,740,2534,698,884,595,11224,2485
