jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD
Alabama,1/5/2019,1077,30,198,22,60,21,63,14,21,27,261,53,0
Alabama,1/12/2019,1090,25,187,24,49,18,85,21,13,11,275,65,0
Alabama,1/19/2019,1114,22,238,18,48,31,80,30,25,15,283,53,0
Alabama,1/26/2019,1063,21,165,22,50,22,113,14,25,23,279,56,0
Alabama,2/2/2019,1095,18,199,19,52,19,80,20,24,21,290,50,0
Alabama,2/9/2019,1092,18,182,25,56,28,76,27,22,28,278,59,0
Alabama,2/16/2019,1103,27,214,25,51,27,78,17,22,20,262,56,0
Alabama,2/23/2019,1064,16,183,22,52,17,70,23,26,20,273,52,0
Alabama,3/2/2019,1050,25,164,30,52,28,65,11,23,15,283,56,0
Alabama,3/9/2019,1062,18,189,27,50,19,81,12,19,17,260,63,0
Alabama,3/16/2019,1090,21,216,24,60,26,71,22,25,22,278,57,0
Alabama,3/23/2019,1012,21,176,23,48,22,70,15,24,22,259,62,0
Alabama,3/30/2019,1079,23,202,20,52,20,59,12,15,22,281,67,0
Alabama,4/6/2019,1044,12,202,20,43,18,77,22,15,22,248,64,0
Alabama,4/13/2019,1031,22,174,29,46,21,74,16,15,26,267,51,0
Alabama,4/20/2019,954,21,163,24,50,19,62,16,20,18,256,59,0
Alabama,4/27/2019,1042,21,215,28,39,19,77,20,23,18,259,59,0
Alabama,5/4/2019,1031,14,204,20,47,21,60,16,16,16,257,54,0
Alabama,5/11/2019,1009,15,217,21,48,18,67,12,19,21,240,55,0
Alabama,5/18/2019,996,17,191,20,51,19,54,22,12,21,250,54,0
Alabama,5/25/2019,974,14,193,27,45,21,79,,18,20,266,64,0
Alabama,6/1/2019,1027,21,194,17,56,18,76,,18,18,255,64,0
Alabama,6/8/2019,1029,15,222,17,55,11,62,17,16,21,246,57,0
Alabama,6/15/2019,986,23,180,25,43,23,64,17,16,13,238,57,0
Alabama,6/22/2019,989,19,190,20,45,20,52,18,23,14,244,61,0
Alabama,6/29/2019,940,31,185,23,49,17,71,18,13,,240,44,0
Alabama,7/6/2019,1028,22,182,22,48,10,53,15,21,21,277,60,0
Alabama,7/13/2019,1018,19,215,28,58,11,49,17,19,14,256,52,0
Alabama,7/20/2019,962,19,195,29,40,15,68,21,15,15,240,49,0
Alabama,7/27/2019,980,19,186,21,49,12,45,18,22,18,259,60,0
Alabama,8/3/2019,984,12,184,18,67,19,48,13,19,27,262,60,0
Alabama,8/10/2019,998,17,196,27,48,12,59,14,16,25,251,63,0
Alabama,8/17/2019,977,21,188,31,42,15,57,14,18,18,245,54,0
Alabama,8/24/2019,939,17,189,16,52,19,62,14,,19,245,53,0
Alabama,8/31/2019,975,18,191,20,56,18,69,15,10,20,212,56,0
Alabama,9/7/2019,1009,13,188,17,46,16,78,23,21,12,249,52,0
Alabama,9/14/2019,1000,21,201,22,35,21,59,21,11,21,229,69,0
Alabama,9/21/2019,883,19,173,25,53,13,50,14,23,19,213,41,0
Alabama,9/28/2019,987,22,194,13,38,19,57,12,18,16,244,61,0
Alabama,10/5/2019,958,14,189,16,45,10,67,14,25,17,232,59,0
Alabama,10/12/2019,907,16,187,21,44,,46,28,12,15,209,54,0
Alabama,10/19/2019,1009,21,192,20,49,16,65,28,18,17,238,86,0
Alabama,10/26/2019,978,21,191,18,42,18,54,16,16,16,270,63,0
Alabama,11/2/2019,937,16,198,17,51,18,53,10,20,17,213,54,0
Alabama,11/9/2019,1041,16,202,22,54,10,73,17,15,27,280,64,0
Alabama,11/16/2019,1070,20,182,29,61,22,71,12,27,22,303,52,0
Alabama,11/23/2019,1043,22,194,29,46,19,62,19,16,17,252,65,0
Alabama,11/30/2019,1038,20,188,23,50,27,59,22,22,19,241,61,0
Alabama,12/7/2019,1072,29,180,28,62,20,76,18,22,13,266,60,0
Alabama,12/14/2019,1081,19,202,26,52,25,76,20,25,18,252,66,0
Alabama,12/21/2019,1103,22,204,33,70,19,81,24,20,23,252,68,0
Alabama,12/28/2019,1035,17,194,33,53,15,55,22,21,20,257,49,0
Alabama,1/4/2020,1080,15,196,25,54,28,86,13,25,25,267,81,0
Alabama,1/11/2020,1126,25,197,17,41,27,72,20,23,34,274,68,0
Alabama,1/18/2020,1039,28,201,23,53,31,73,21,23,24,239,45,0
