jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD
United States,1/4/2020,60164,846,11569,1827,2528,1559,3501,1066,1095,673,14196,3107,2
United States,1/11/2020,60721,867,11963,1939,2564,1529,3709,1035,1092,694,13898,3183,0
United States,1/18/2020,59351,831,11705,1818,2489,1486,3524,991,1124,665,13581,3258,2
United States,1/25/2020,59141,829,11879,1861,2513,1487,3394,978,1111,698,13600,3177,2
United States,2/1/2020,58801,811,11959,1826,2476,1417,3307,980,1075,679,13448,3079,0
United States,2/8/2020,59369,812,11694,1955,2505,1462,3402,973,1134,667,13970,3049,0
United States,2/15/2020,58786,799,11807,1841,2533,1514,3477,978,1070,683,13630,3081,0
United States,2/22/2020,58865,781,11776,1875,2508,1461,3453,967,1054,682,13612,3079,4
United States,2/29/2020,59279,820,11784,1827,2518,1507,3453,1010,1091,746,13693,3122,8
United States,3/7/2020,59659,812,11708,1860,2507,1607,3465,1003,1074,737,13667,3088,32
United States,3/14/2020,58634,764,11575,1739,2439,1636,3384,990,1076,741,13415,3155,52
United States,3/21/2020,59166,844,11735,1827,2510,1751,3377,1017,1102,714,13169,3061,537
United States,3/28/2020,62968,855,11776,2040,2742,1794,3515,1062,1031,722,13692,3064,2997
United States,4/4/2020,72238,946,11592,2295,2864,1869,3538,1031,1036,810,14928,3156,9564
United States,4/11/2020,79013,842,11548,2348,2953,1633,3442,1029,1124,770,15744,3187,15425
United States,4/18/2020,76700,750,11193,2262,2897,1252,3191,928,1095,777,14547,3202,16206
United States,4/25/2020,73848,739,11354,2082,2802,1156,2990,899,987,798,13855,3054,14574
United States,5/2/2020,69232,741,11095,1926,2722,1017,2923,857,963,687,12986,3034,12387
United States,5/9/2020,66760,722,11011,1965,2491,867,2802,868,943,757,13150,2849,10424
United States,5/16/2020,64423,681,11264,1959,2430,862,2768,789,980,713,12721,2957,8440
United States,5/23/2020,61572,718,11115,1826,2410,809,2678,754,922,726,12758,2818,6542
United States,5/30/2020,59613,654,10903,1805,2260,757,2633,761,895,732,12422,2850,5558
United States,6/6/2020,58822,733,11078,1719,2297,706,2560,779,906,742,12437,2785,4481
United States,6/13/2020,57960,693,11129,1732,2326,697,2500,739,926,781,12380,2839,3710
United States,6/20/2020,57915,686,11145,1784,2356,755,2561,766,934,815,12365,2917,3333
United States,6/27/2020,58426,721,11355,1764,2284,725,2533,776,950,786,12489,2953,3296
United States,7/4/2020,59739,686,11298,1920,2348,659,2620,782,987,844,12823,2827,4013
United States,7/11/2020,61821,765,11320,1942,2463,734,2609,756,917,968,12968,2912,5202
United States,7/18/2020,63049,714,11363,1883,2497,766,2638,714,985,1003,12804,2977,6489
United States,7/25/2020,64129,692,11547,1948,2510,785,2554,728,969,1000,12888,2905,7456
United States,8/1/2020,64095,690,11507,1981,2493,764,2731,781,961,1017,12733,2980,7571
United States,8/8/2020,63541,792,11511,1783,2432,777,2583,728,915,1095,12718,3023,7135
United States,8/15/2020,63409,735,11672,1876,2517,755,2643,791,968,1071,12757,2939,6518
United States,8/22/2020,62262,740,11475,1915,2553,694,2628,782,960,1064,12638,2923,5713
United States,8/29/2020,60779,728,11544,1867,2419,676,2545,743,978,1069,12361,2969,5091
