Explained,Unexplained,Total Unreported
33657.0,15875.0,16473.0
34069.0,16058.0,16688.0
35004.0,16228.0,16847.0
34962.0,15998.0,16591.0
34773.0,16305.0,16894.0
35712.0,16845.0,17494.0
35949.0,16787.0,17398.0
36191.0,16770.0,17415.0
35784.0,16485.0,17103.0
37114.0,16883.0,17493.0
37101.0,17325.0,17979.0
37286.0,16922.0,17656.0
38001.0,17134.0,17867.0
39125.0,17718.0,18352.0
39587.0,17800.0,18457.0
38589.0,17422.0,18043.0
38565.0,17174.0,17824.0
38120.0,17289.0,17939.0
38655.0,17278.0,17904.0
38442.0,16905.0,17540.0
38337.0,17237.0,17875.0
38572.0,17344.0,18032.0
38626.0,17644.0,18327.0
37976.0,17291.0,17963.0
38649.0,17054.0,17722.0
42338.0,17240.0,17907.0
50303.0,18294.0,19034.0
56358.0,18587.0,19287.0
54543.0,17981.0,18702.0
51443.0,18175.0,18890.0
47899.0,17454.0,18058.0
45400.0,17469.0,18132.0
43324.0,17382.0,18008.0
40871.0,17081.0,17743.0
39160.0,16986.0,17616.0
38244.0,17229.0,17870.0
37602.0,17154.0,17856.0
37486.0,17203.0,17912.0
37728.0,17502.0,18216.0
38835.0,17703.0,18458.0
40493.0,18035.0,18892.0
41639.0,18117.0,19007.0
42703.0,17983.0,18881.0
42937.0,17763.0,18665.0
42109.0,18036.0,19016.0
41872.0,18074.0,19035.0
40721.0,18120.0,19078.0
39823.0,17730.0,18706.0
38661.0,17846.0,18853.0
38266.0,17739.0,18852.0
38337.0,17586.0,18697.0
39052.0,17853.0,19024.0
