all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,Explained,Unexplained,Total Unreported
49532.0,631.0,10817.0,1452.0,2164.0,628.0,2474.0,827.0,906.0,598.0,11135.0,2623.0,0.0,33657.0,15875.0,16473.0
50127.0,697.0,10991.0,1394.0,2178.0,674.0,2542.0,757.0,903.0,630.0,11249.0,2684.0,0.0,34069.0,16058.0,16688.0
51232.0,687.0,11059.0,1487.0,2204.0,736.0,2606.0,783.0,906.0,619.0,11847.0,2689.0,0.0,35004.0,16228.0,16847.0
50960.0,665.0,11001.0,1506.0,2257.0,726.0,2549.0,780.0,953.0,593.0,11739.0,2786.0,0.0,34962.0,15998.0,16591.0
51078.0,665.0,10964.0,1525.0,2173.0,740.0,2695.0,813.0,911.0,589.0,11500.0,2787.0,0.0,34773.0,16305.0,16894.0
52557.0,740.0,11176.0,1572.0,2295.0,774.0,2596.0,821.0,992.0,649.0,11940.0,2806.0,0.0,35712.0,16845.0,17494.0
52736.0,689.0,10998.0,1598.0,2333.0,803.0,2680.0,811.0,969.0,611.0,12237.0,2831.0,0.0,35949.0,16787.0,17398.0
52961.0,661.0,11008.0,1578.0,2326.0,763.0,2794.0,839.0,962.0,645.0,12270.0,2990.0,0.0,36191.0,16770.0,17415.0
52269.0,690.0,10664.0,1590.0,2366.0,773.0,2732.0,858.0,947.0,618.0,12331.0,2833.0,0.0,35784.0,16485.0,17103.0
53997.0,757.0,10811.0,1683.0,2403.0,947.0,2957.0,807.0,964.0,610.0,12870.0,2915.0,0.0,37114.0,16883.0,17493.0
54426.0,748.0,10960.0,1634.0,2482.0,964.0,2991.0,855.0,997.0,654.0,12524.0,2946.0,0.0,37101.0,17325.0,17979.0
54208.0,699.0,11000.0,1665.0,2434.0,982.0,3102.0,858.0,991.0,734.0,12525.0,3030.0,0.0,37286.0,16922.0,17656.0
55135.0,804.0,10824.0,1761.0,2421.0,1055.0,3188.0,903.0,993.0,733.0,13123.0,2929.0,0.0,38001.0,17134.0,17867.0
56843.0,798.0,10956.0,1693.0,2388.0,1503.0,3328.0,1006.0,1026.0,634.0,13479.0,2946.0,2.0,39125.0,17718.0,18352.0
57387.0,806.0,11307.0,1811.0,2395.0,1438.0,3530.0,996.0,1039.0,657.0,13258.0,3007.0,0.0,39587.0,17800.0,18457.0
56011.0,785.0,11022.0,1673.0,2337.0,1400.0,3345.0,944.0,1062.0,621.0,12918.0,3101.0,2.0,38589.0,17422.0,18043.0
55739.0,774.0,11184.0,1721.0,2363.0,1406.0,3232.0,927.0,1047.0,650.0,12910.0,2999.0,2.0,38565.0,17174.0,17824.0
55409.0,746.0,11325.0,1684.0,2317.0,1323.0,3129.0,921.0,1015.0,650.0,12746.0,2914.0,0.0,38120.0,17289.0,17939.0
55933.0,748.0,11022.0,1816.0,2341.0,1362.0,3236.0,905.0,1064.0,626.0,13277.0,2884.0,0.0,38655.0,17278.0,17904.0
55347.0,734.0,11162.0,1711.0,2368.0,1398.0,3289.0,925.0,993.0,635.0,12960.0,2902.0,0.0,38442.0,16905.0,17540.0
