Explained,Unexplained,Total Unreported
33913.70529023522,15502.713987075811,16122.740075566138
34083.98387358652,15249.703759662603,15875.44552987057
34406.94125566366,15299.795399212366,15886.783466262159
34665.32397964869,15562.123552019497,16193.5329319717
34705.8070065558,15735.872155097299,16353.315641357356
34978.04651133282,15581.402304478615,16207.448079908634
35499.93358706723,15842.850113303415,16462.566553802288
35674.93204905295,15784.715504434651,16426.615469717683
36181.06791379275,16010.787948014404,16710.236409918507
36538.23404368364,16312.056618491086,17031.822279219283
37473.22765592775,16372.411512606697,17046.251066547018
38184.58549577475,16633.165557171713,17364.27182129165
38777.99185386774,16738.004030947428,17463.55239231842
40854.5613501926,17642.960684861413,18297.85162136651
41610.67550189271,17769.962251325233,18412.453050164357
40703.60275452466,17225.306728497533,17849.990941929453
39730.35202591513,17029.156896112785,17655.0387217861
39429.92149049908,16979.06446419772,17589.1811928612
39522.550672479454,17141.48110075087,17759.085782671045
39331.63643156995,16609.60730361312,17234.56975221883
38727.13865462429,16535.173732153402,17123.233177893853
38074.02472170025,16498.635585477117,17097.304240117886
38329.25230651809,16628.006620613698,17251.640587239337
37983.25779470407,16296.65509560187,16900.41867621145
37611.62262557855,16365.637815854585,16940.175934060273
37123.064457657405,16004.94609181326,16595.69125366582
36833.345352982156,16214.714923945176,16813.127262181268
36501.691178349756,16067.61897227123,16653.07306898221
35694.03467646841,15670.216973326606,16236.319247349487
35501.89883231826,15521.86330898948,16097.691818123638
35225.368387729985,15697.018617074427,16260.382599424147
34639.790668409965,15405.236576339012,15951.364016963922
34385.407474829546,15380.80108955018,15950.171609806157
34157.12378515933,15165.554431620192,15720.061092439604
34005.38329652347,15232.68822276585,15769.50920756761
34039.2092758478,15616.623725819933,16182.311252160942
33802.40376906791,15309.638394398535,15848.683828853926
33810.20251300251,15232.535152843317,15795.266959329167
33554.022045268925,15194.437316357806,15783.044462710155
33570.67617002247,15570.386250432603,16138.690931050105
33349.756224767916,15269.991243321798,15810.987106119532
33068.31007774429,15277.485562538648,15850.22853811618
32933.37328089112,15103.588510227572,15660.845172560337
33144.024424623836,15147.999299097508,15715.702926943657
33094.16246971161,15471.673156975485,16054.369383325726
32988.73455957382,15085.920566023648,15664.335106341783
32878.348353930756,15067.842996792446,15625.876102340988
33188.40039665358,15235.609317716575,15773.2663640884
33093.871216982574,15521.965889372077,16114.249361691795
33573.81759535073,15464.92778043847,16039.20354602771
33524.89496582698,15454.789732269186,16013.893553913545
33629.41466144713,15458.206772844307,16046.70670743182
