jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD,season_week,season
United States,10/11/2014,47893.412605456586,668.9945499750619,11253.33359334014,1342.112332923776,1747.2199725851,797.8455804016917,2462.600893513749,624.6697955083013,859.694075006474,633.9470696990186,11132.729028860815,2398.6907824221403,0.0,1.0,0.0
United States,10/18/2014,47834.65653558204,713.3193044418225,11094.589123854532,1294.6951537267762,1810.0992754332954,847.3243760855175,2481.1554418951832,644.255152133149,800.9380051319308,615.3925213175839,11358.476034168269,2520.3261551448786,0.0,2.0,0.0
United States,10/25/2014,47588.29336540633,648.3783851068011,11136.852261834467,1301.9108114306673,1852.36241341323,828.7698277040828,2515.1721139278134,658.6864675409315,818.4617452699524,612.3000965873448,11098.712356828184,2544.0347447433787,0.0,3.0,0.0
United States,11/1/2014,47476.96607511772,706.1036467379313,11115.205288722793,1262.740098180972,1870.9169617946645,855.5708420328218,2529.603429335596,620.5465625346491,835.9854854079741,566.9445338771711,10925.536571934794,2506.9256479805094,0.0,4.0,0.0
United States,11/8/2014,49511.78154761506,693.7339478169748,11181.177016301226,1369.944155495928,1972.9669778925554,814.3385122963003,2698.655981255334,673.1177829487141,820.5233617567785,684.4566736262575,11642.979109350268,2654.3312267885735,0.0,5.0,0.0
United States,11/15/2014,49032.455714428,691.6723313301487,11093.558315611119,1402.9300192851451,1953.3816212677077,811.2460875660612,2601.760006374509,647.3475768633881,834.9546771645611,632.9162614556055,11659.472041244877,2623.4069794861825,0.0,6.0,0.0
United States,11/22/2014,51035.31613137953,735.9970857969093,11430.632611207182,1501.8876106527969,2043.061938444642,955.5592416438866,2672.8857751700084,708.1652632247574,957.6208581307126,643.2243438897359,11974.899363729266,2745.042352208921,0.0,7.0,0.0
United States,11/29/2014,50424.0468430356,720.5349621457138,11020.370930328792,1414.2689099626887,2138.9271050820544,949.3743921834083,2680.1014328738997,686.5182901130835,911.2344871771259,642.1935356463229,12181.061012411874,2711.0256801762907,0.0,8.0,0.0
United States,12/6/2014,51340.43537142979,797.8455804016917,11145.098727781771,1386.4370873905366,2207.991257390728,1019.4693527354949,2804.829230326877,701.9804137642791,992.6683384067559,689.6107148433226,12130.551408484635,2665.670117466117,0.0,9.0,0.0
United States,12/13/2014,52140.34256831831,738.0587022837354,11260.54925104403,1568.8901464746443,2212.1144903643803,1111.2112863992554,2960.481275082246,698.88798903404,992.6683384067559,663.8405087579966,12291.357494457068,2845.0307518199857,0.0,10.0,0.0
United States,12/20/2014,53195.890209573256,874.1253904142565,11285.288648885944,1519.4113507908185,2153.358420489837,1413.2381017192756,3176.951006198984,760.7364836388223,919.4809531244302,682.3950571394314,12730.481806151023,2834.7226693858556,0.0,11.0,0.0
United States,12/27/2014,54454.50707478057,848.3551843289306,11189.42348224853,1546.2123651195575,2238.915504693119,1644.1391482437962,3349.0959828489617,779.291032020257,1005.0380373277123,752.490017691518,13314.950080166216,2786.274681945443,0.0,12.0,0.0
United States,1/3/2015,57745.87779599841,917.4193366376041,11362.59926714192,1656.5088471647525,2334.7806713305317,2215.2069150946195,3702.6632103396337,844.2319513552784,1028.7466269262122,739.0895105271485,14145.781524357126,2863.5853002014205,0.0,13.0,0.0
United States,1/10/2015,60149.722619637614,960.7132828609517,11564.637682850876,1732.7886571773174,2568.7741425852914,2528.572621092183,3856.2536386081765,880.3102398747347,1103.995628695364,671.056166461888,14559.135629965753,3114.071703350789,0.0,14.0,0.0
United States,1/17/2015,59519.89878291225,929.7890355585606,11626.48617745566,1755.4664385324043,2722.3645708538343,2281.1786426730537,3730.4950329117855,856.6016502762349,1128.735026537277,697.8571807906269,14293.18710316519,2983.1590564373328,0.0,15.0,0.0
United States,1/24/2015,57210.88831766704,909.1728706902998,11415.170487555986,1709.0800675788175,2533.7266623092482,2052.339212635359,3638.753099248025,839.0779101382132,1090.5951215309947,679.3026324091923,13699.44155495928,2946.0499596744635,0.0,16.0,0.0
United States,1/31/2015,55836.82092919746,816.4001287831263,11484.23463986466,1666.816929598883,2403.8448236392055,1819.3765496240126,3520.210151255526,811.2460875660612,1054.5168330115382,682.3950571394314,13221.14653001563,2925.433794806203,0.0,17.0,0.0
United States,2/7/2015,55691.476966876224,848.3551843289306,11334.76744456977,1552.3972145800358,2278.0862179428145,1721.4497664997741,3393.4207373157224,746.3051682310397,1027.7158186827992,656.6248510541054,13527.296578309302,2843.9999435765726,0.0,18.0,0.0
United States,2/14/2015,54882.29249579699,894.7415552825173,11215.193688333857,1636.9234905399048,2357.458452685619,1545.1815568761444,3438.776300025896,830.8314441909089,1072.0405731495598,651.4708098370402,13060.340444043195,2828.5378199253773,0.0,19.0,0.0
United States,2/21/2015,54771.99601375179,830.8314441909089,11121.390138183271,1595.6911608033834,2292.517533350597,1464.7785138899276,3562.4732892354605,761.7672918822353,1032.8698598998644,614.3617130741709,13263.409667995564,2782.1514489717906,0.0,20.0,0.0
United States,2/28/2015,54153.51106770397,813.3077040528873,11119.328521696445,1635.8926822964918,2209.022065634141,1427.669417127058,3443.9303412429613,793.7223474280395,1041.1163258471688,653.5324263238663,13037.66266268811,2846.0615600633987,0.0,21.0,0.0
United States,3/7/2015,54133.92571107912,837.0162936513872,10920.382530717729,1615.276517428231,2169.851352384446,1291.602728996537,3504.74802760433,827.7390194606697,1016.3769280052558,595.8071646927361,13150.02076122013,2793.4903396493337,0.0,22.0,0.0
United States,3/14/2015,53821.59081332497,859.694075006474,11187.361865761704,1565.7977217444052,2238.915504693119,1327.6810175159933,3390.328312585483,787.5374979675613,1001.9456125974733,595.8071646927361,12865.51768603813,2724.4261873406604,0.0,23.0,0.0
United States,3/21/2015,52915.510367364914,770.0137578295396,11393.523514444312,1454.470431455797,2108.0028577796634,1186.460288168407,3326.4182014938747,799.9071968885178,1022.561777465734,625.7006037517143,12558.336829501046,2818.229737491247,0.0,24.0,0.0
United States,3/28/2015,51818.73039637344,767.9521413427136,11440.940693641312,1431.7926501007103,1965.751320188664,1133.8890677543422,3219.2141441789186,782.3834567504961,995.760763136995,628.7930284819533,12325.374166489699,2678.0398163870736,0.0,25.0,0.0
United States,4/4/2015,51632.154104315676,745.2743599876267,10935.844654368924,1498.7951859225577,2022.4457735763813,1113.2729028860815,3281.062638783701,781.352648507083,957.6208581307126,601.9920141532144,12388.253469337895,2633.715061920313,0.0,26.0,0.0
United States,4/11/2015,51319.81920656153,740.1203187705615,11099.743165071597,1479.20982929771,2015.23011587249,1129.76583478069,3248.076774994484,763.8289083690614,979.2678312423865,593.74554820591,12230.5398080957,2566.7125260984653,0.0,27.0,0.0
United States,4/18/2015,51558.96671903335,782.3834567504961,11264.672484017683,1443.1315407782536,2000.7988004647075,1114.3037111294943,3255.2924326983753,815.3693205397133,966.89813232143,596.8379729361492,12226.416575122048,2647.1155690846826,0.0,28.0,0.0
United States,4/25/2015,50395.18421222003,749.3975929612789,10944.091120316229,1492.6103364620794,1964.720511945251,1076.163806123212,3120.256552811267,704.0420302511052,911.2344871771259,586.5298905020188,11898.619553716702,2520.3261551448786,0.0,29.0,0.0
United States,5/2/2015,50273.54883949729,728.7814280930181,11119.328521696445,1380.2522379300583,2011.1068828988377,1042.1471340905819,3126.441402271745,724.6581951193659,961.7440911043648,560.7596844166928,12061.487256175962,2527.54181284877,0.0,30.0,0.0
United States,5/9/2015,50304.473086799684,659.7172757843446,11061.603260065314,1450.347198482145,1941.0119223467511,900.9264047429955,3080.0550313181584,760.7364836388223,873.0945821708435,578.2834245547145,11848.109949789463,2536.8190870394874,0.0,31.0,0.0
United States,5/16/2015,49417.97799746447,711.2576879549964,11066.75730128238,1366.851730765689,1864.7321123341865,944.2203509663431,3015.1141119831373,692.7031395735618,907.1112542034738,559.7288761732798,11613.08567029129,2582.174649749661,0.0,32.0,0.0
United States,5/23/2015,48136.683350902065,685.4874818696705,10750.299170554577,1368.913347252515,1853.393221656643,885.4642810918,2899.6635887208768,668.9945499750619,896.8031717693434,555.6056431996277,11295.596731320074,2489.4019078424876,0.0,33.0,0.0
United States,5/30/2015,48478.91168771519,699.918797277453,11051.295177631184,1415.2997182061017,1904.933633827295,889.5875140654521,2835.7534776292687,650.4400015936272,825.6774029738438,553.5440267128016,11384.246240253595,2420.337755533814,0.0,34.0,0.0
United States,6/6/2015,47794.45501408893,668.9945499750619,10902.858790579707,1383.3446626602974,1838.9619062488605,845.2627595986914,2772.874174781073,650.4400015936272,912.2652954205389,570.0369586074102,11054.387602361423,2427.553413237705,0.0,35.0,0.0
United States,6/13/2015,48503.6510855571,723.6273868759529,10826.578980567141,1351.3896071144932,1896.6871678799905,865.8789244669522,2814.1065045175947,708.1652632247574,853.5092255459957,576.2218080678884,11237.871469688944,2463.6317017571614,0.0,36.0,0.0
United States,6/20/2015,47801.670671792825,666.9329334882358,10964.70728518449,1354.4820318447323,1799.7911929991649,832.893060677735,2699.686789498747,676.2102076789531,856.6016502762349,573.1293833376493,11011.093656138075,2547.127169473618,0.0,37.0,0.0
